Name,Generations,Max value
eil51_n150_bounded-strongly-corr_01.ttp,1806,7651.203992578756
eil51_n150_bounded-strongly-corr_02.ttp,1709,11869.048771841848
eil51_n150_bounded-strongly-corr_03.ttp,1172,20739.40885529679
eil51_n150_bounded-strongly-corr_04.ttp,1433,27829.605851451735
eil51_n150_bounded-strongly-corr_05.ttp,970,15500.381794578694
eil51_n150_bounded-strongly-corr_06.ttp,868,23788.794704245418
eil51_n150_bounded-strongly-corr_07.ttp,883,-12751.24403895247
eil51_n150_bounded-strongly-corr_08.ttp,1181,10682.907996176917
eil51_n150_bounded-strongly-corr_09.ttp,1775,224.6190099943342
eil51_n150_bounded-strongly-corr_10.ttp,1315,22430.482972152517
eil51_n150_uncorr-similar-weights_01.ttp,821,4147.258637754152
eil51_n150_uncorr-similar-weights_02.ttp,957,7724.839955225042
eil51_n150_uncorr-similar-weights_03.ttp,976,9272.666178289575
eil51_n150_uncorr-similar-weights_04.ttp,871,6647.264443778029
eil51_n150_uncorr-similar-weights_05.ttp,908,4194.967017275892
eil51_n150_uncorr-similar-weights_06.ttp,1328,5139.096973876563
eil51_n150_uncorr-similar-weights_07.ttp,1769,6593.246299940096
eil51_n150_uncorr-similar-weights_08.ttp,1183,8083.797825724068
eil51_n150_uncorr-similar-weights_09.ttp,1070,-5669.392489176353
eil51_n150_uncorr-similar-weights_10.ttp,1439,-2154.5059308843265
eil51_n150_uncorr_01.ttp,767,6361.87855377779
eil51_n150_uncorr_02.ttp,837,8620.98745990415
eil51_n150_uncorr_03.ttp,1869,8941.584084357946
eil51_n150_uncorr_04.ttp,1507,4497.8471708300785
eil51_n150_uncorr_05.ttp,1446,-1335.0456058522177
eil51_n150_uncorr_06.ttp,2575,5200.598224833975
eil51_n150_uncorr_07.ttp,1443,6417.587840699678
eil51_n150_uncorr_08.ttp,3155,4094.5626812831797
eil51_n150_uncorr_09.ttp,992,7046.581788203948
eil51_n150_uncorr_10.ttp,1491,5750.388971859364
eil51_n250_bounded-strongly-corr_01.ttp,866,20198.44265971296
eil51_n250_bounded-strongly-corr_02.ttp,853,32507.609331480657
eil51_n250_bounded-strongly-corr_03.ttp,744,43815.2118233692
eil51_n250_bounded-strongly-corr_04.ttp,1030,44386.898812348314
eil51_n250_bounded-strongly-corr_05.ttp,1118,38846.770174924604
eil51_n250_bounded-strongly-corr_06.ttp,1025,49851.27744695256
eil51_n250_bounded-strongly-corr_07.ttp,2625,57728.83176158645
eil51_n250_bounded-strongly-corr_08.ttp,1283,23757.85946570018
eil51_n250_bounded-strongly-corr_09.ttp,2070,29415.297965514503
eil51_n250_bounded-strongly-corr_10.ttp,1919,54744.28192866844
eil51_n250_uncorr-similar-weights_01.ttp,767,7830.915000518446
eil51_n250_uncorr-similar-weights_02.ttp,987,13261.451798397069
eil51_n250_uncorr-similar-weights_03.ttp,1039,20018.558446326933
eil51_n250_uncorr-similar-weights_04.ttp,4471,10791.697383912757
eil51_n250_uncorr-similar-weights_05.ttp,724,6569.990359063719
eil51_n250_uncorr-similar-weights_06.ttp,943,15951.435619965661
eil51_n250_uncorr-similar-weights_07.ttp,1509,14841.180379191515
eil51_n250_uncorr-similar-weights_08.ttp,1420,4162.860196367692
eil51_n250_uncorr-similar-weights_09.ttp,1666,8168.542239575399
eil51_n250_uncorr-similar-weights_10.ttp,5290,15239.056128385608
eil51_n250_uncorr_01.ttp,1092,7494.550625952744
eil51_n250_uncorr_02.ttp,1048,10764.219701686616
eil51_n250_uncorr_03.ttp,1060,7429.533167171066
eil51_n250_uncorr_04.ttp,1182,11996.323303033147
eil51_n250_uncorr_05.ttp,1043,6991.5625508280355
eil51_n250_uncorr_06.ttp,1022,11506.638118111307
eil51_n250_uncorr_07.ttp,2717,6792.730051727784
eil51_n250_uncorr_08.ttp,1591,9047.016688257732
eil51_n250_uncorr_09.ttp,1531,9152.170906505402
eil51_n250_uncorr_10.ttp,2433,23754.27150884948
eil51_n500_bounded-strongly-corr_01.ttp,937,29833.346410935348
eil51_n500_bounded-strongly-corr_02.ttp,1277,70655.69382177795
eil51_n500_bounded-strongly-corr_03.ttp,1586,79084.73671835747
eil51_n500_bounded-strongly-corr_04.ttp,1727,93074.99986224333
eil51_n500_bounded-strongly-corr_05.ttp,2483,86331.14451104522
eil51_n500_bounded-strongly-corr_06.ttp,3495,94035.14819435112
eil51_n500_bounded-strongly-corr_07.ttp,2540,88967.54210532576
eil51_n500_bounded-strongly-corr_08.ttp,2747,71432.28406342282
eil51_n500_bounded-strongly-corr_09.ttp,2820,51562.79443591408
eil51_n500_bounded-strongly-corr_10.ttp,5280,36938.15566337679
eil51_n500_uncorr-similar-weights_01.ttp,1008,20795.199346992376
eil51_n500_uncorr-similar-weights_02.ttp,1148,27696.918790155243
eil51_n500_uncorr-similar-weights_03.ttp,989,14994.10939532664
eil51_n500_uncorr-similar-weights_04.ttp,969,7255.015679485463
eil51_n500_uncorr-similar-weights_05.ttp,1433,24943.87493504693
eil51_n500_uncorr-similar-weights_06.ttp,2826,30824.395249778172
eil51_n500_uncorr-similar-weights_07.ttp,2218,18558.35952988721
eil51_n500_uncorr-similar-weights_08.ttp,2552,23198.15281571301
eil51_n500_uncorr-similar-weights_09.ttp,1779,24522.47998969866
eil51_n500_uncorr-similar-weights_10.ttp,2942,8475.387530835404
eil51_n500_uncorr_01.ttp,1935,-201576.46071835663
eil51_n500_uncorr_02.ttp,861,13314.725669399337
eil51_n500_uncorr_03.ttp,1445,17797.46625490006
eil51_n500_uncorr_04.ttp,1492,26347.52149988127
eil51_n500_uncorr_05.ttp,1352,22735.642976868003
eil51_n500_uncorr_06.ttp,2787,16797.42827266011
eil51_n500_uncorr_07.ttp,1814,25379.47788181284
eil51_n500_uncorr_08.ttp,2389,18849.902160621423
eil51_n500_uncorr_09.ttp,3603,14489.934860003792
eil51_n500_uncorr_10.ttp,3736,45892.20328809021
eil51_n50_bounded-strongly-corr_01.ttp,1332,2694.2844070491724
eil51_n50_bounded-strongly-corr_02.ttp,1899,4054.775351857231
eil51_n50_bounded-strongly-corr_03.ttp,1371,-786.5140784177183
eil51_n50_bounded-strongly-corr_04.ttp,1461,1859.7320017303864
eil51_n50_bounded-strongly-corr_05.ttp,805,-2721.7379906166097
eil51_n50_bounded-strongly-corr_06.ttp,1872,7847.478932589536
eil51_n50_bounded-strongly-corr_07.ttp,1041,-2304.064347513522
eil51_n50_bounded-strongly-corr_08.ttp,1559,11292.477373916952
eil51_n50_bounded-strongly-corr_09.ttp,1175,2711.006383409196
eil51_n50_bounded-strongly-corr_10.ttp,887,1100.7294771949018
eil51_n50_uncorr-similar-weights_01.ttp,1347,885.6663240310959
eil51_n50_uncorr-similar-weights_02.ttp,1606,4877.696869299619
eil51_n50_uncorr-similar-weights_03.ttp,1099,3154.146114117708
eil51_n50_uncorr-similar-weights_04.ttp,1326,-707.8600054962899
eil51_n50_uncorr-similar-weights_05.ttp,1166,1480.134904674229
eil51_n50_uncorr-similar-weights_06.ttp,1571,-625.7377681819362
eil51_n50_uncorr-similar-weights_07.ttp,883,2499.1765826588453
eil51_n50_uncorr-similar-weights_08.ttp,1681,3252.274553106392
eil51_n50_uncorr-similar-weights_09.ttp,1036,-529.3687581914237
eil51_n50_uncorr-similar-weights_10.ttp,2022,3152.8159218714445
eil51_n50_uncorr_01.ttp,1133,3176.6249985424533
eil51_n50_uncorr_02.ttp,1037,5620.585819881086
eil51_n50_uncorr_03.ttp,1438,1579.280973453544
eil51_n50_uncorr_04.ttp,2052,4130.209578823575
eil51_n50_uncorr_05.ttp,1338,-377.44849526476537
eil51_n50_uncorr_06.ttp,1438,2145.471439699031
eil51_n50_uncorr_07.ttp,2129,3288.4206277572393
eil51_n50_uncorr_08.ttp,2140,2201.6704630320146
eil51_n50_uncorr_09.ttp,1934,4279.136423173013
eil51_n50_uncorr_10.ttp,2361,6570.861114198151
Average,1632.441667,15196.40093
